ID ingredientName
1 butter
2 wheat
3 citrus
4 cherry
5 lard
6 orange
7 egg
8 vinegar
9 apple
10 onion
11 starch
12 black_pepper
13 cider
14 bay
15 cabbage
16 vanilla
17 strawberry
18 milk
19 cream
20 raisin
21 walnut
22 tomato
23 cane_molasses
24 pepper
25 coriander
26 mustard
27 celery_oil
28 corn
29 beer
30 cumin
31 fenugreek
32 bell_pepper
33 garlic
34 cinnamon
35 vegetable_oil
36 turmeric
37 meat
38 lemon_peel
39 nutmeg
40 cheese
41 beef
42 yeast
43 sesame_seed
44 plum
45 bread
46 lemon_juice
47 almond
48 fruit
49 lemon
50 fish
51 cream_cheese
52 smoke
53 potato
54 bacon
55 parsley
56 thyme
57 red_wine
58 mushroom
59 beef_broth
60 oyster
61 white_wine
62 anise
63 seed
64 ginger
65 honey
66 celery
67 lettuce
68 smoked_sausage
69 pork_sausage
70 orange_juice
71 whole_grain_wheat_flour
72 rum
73 buttermilk
74 peach
75 apricot
76 cocoa
77 cardamom
78 swiss_cheese
79 chicken
80 scallion
81 fennel
82 cheddar_cheese
83 raspberry
84 oat
85 olive_oil
86 dill
87 carrot
88 sauerkraut
89 cayenne
90 cranberry
91 coconut
92 pecan
93 coffee
94 cherry_brandy
95 egg_noodle
96 white_bread
97 anise_seed
98 caraway
99 roasted_pork
100 rye_flour
101 sour_cherry
102 nut
103 endive
104 chive
105 cottage_cheese
106 chicken_broth
107 ham
108 soy_sauce
109 macaroni
110 bean
111 marjoram
112 sage
113 rosemary
114 elderberry
115 pistachio
116 juniper_berry
117 oregano
118 pork
119 pineapple
120 sesame_oil
121 hazelnut
122 parmesan_cheese
123 veal
124 date
125 roasted_beef
126 tabasco_pepper
127 lentil
128 tamarind
129 cucumber
130 green_bell_pepper
131 pimento
132 basil
133 mozzarella_cheese
134 orange_peel
135 currant
136 brandy
137 soybean
138 wine
139 vegetable
140 rice
141 cauliflower
142 broccoli
143 tarragon
144 leek
